YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,Jan -Feb,Mar-May,Jun-Sept,Oct-Dec,Annual ,,Moving_average _for_5years,
1878,22.9,24.9,26.4,28.1,29.9,29.1,26.9,26.8,27.1,28.3,26.8,24.1,,23.9,23.9,24.23333333,24.01111111,26.92202381,,#N/A,#N/A
1879,24.1,24,25.9,27.6,28.5,27.6,27.4,25.9,26.4,26.8,24.9,23.4,,24.05,24.05,24.03333333,24.04444444,26.189881,,#N/A,#N/A
1880,23.3,23.6,26.9,28.6,29.5,28.5,26.5,26.5,26,27.5,27,25.4,,23.45,23.45,23.5,23.46666667,26.75059524,,#N/A,#N/A
1881,24.9,25.4,26.3,28.1,29.8,28.6,27,26.8,26.8,27.2,26.5,25.2,,25.15,25.15,25.23333333,25.17777778,26.99761905,,#N/A,#N/A
1882,24.7,24.2,26.5,27.8,28.9,27.4,25.9,26.9,26.4,26.9,25.3,24.7,,24.45,24.45,24.36666667,24.42222222,26.42738095,,26.65750001,#N/A
1883,24.3,23.6,25.4,28.1,29.2,27.8,26.6,26.6,25.9,26.8,25.6,23.3,,23.95,23.95,23.83333333,23.91111111,26.24940476,,26.5229762,#N/A
1884,22.6,23.1,25.9,27.4,28.8,28.6,26.8,26.8,26.1,26.8,25.8,24.2,,22.85,22.85,22.93333333,22.87777778,26.23869048,,26.5327381,#N/A
1885,23.2,22.4,25.4,26.8,28.7,29.2,27.1,26.6,26.9,27.6,27,24.4,,22.8,22.8,22.66666667,22.75555556,26.40833333,,26.46428571,#N/A
1886,23.3,23.3,26.3,27.6,29.6,28.3,26.8,26.8,26.9,27.1,26.6,24.4,,23.3,23.3,23.3,23.3,26.57380952,,26.37952381,0.225892772
1887,22.5,23.4,25.5,27.5,29.3,27.1,26.1,26,26,27.5,26.8,25,,22.95,22.95,23.1,23,26.17380952,,26.32880952,0.212700701
1888,23.5,24.5,26.9,28.3,29.2,28.3,27,26.4,27.2,28.4,27.4,25.6,,24,24,24.16666667,24.05555556,27.00416667,,26.4797619,0.292016084
1889,24.3,24.4,26.3,27.9,29.9,28.5,27.1,27.1,27.8,26.9,24.9,24.3,,24.35,24.35,24.36666667,24.35555556,26.78988095,,26.59,0.275628504
1890,24.5,25.2,26.4,28.2,29.1,27.3,26.3,26,26.5,27,26.1,24.8,,24.85,24.85,24.96666667,24.88888889,26.55892857,,26.62011905,0.275851035
1891,23.6,23.3,25.2,27.2,29,29.6,26.9,26.9,26.5,27.6,26.8,25.5,,23.45,23.45,23.4,23.43333333,26.62202381,,26.6297619,0.261832735
1892,24.3,25.3,26,29.4,29.9,27.8,27.2,26.7,25.9,27.5,25.7,24.6,,24.8,24.8,24.96666667,24.85555556,-64.8297619,,8.42904762,32.76330853
1893,22.8,22.1,25.2,28.4,29.1,27.4,26.9,26.6,26.6,26.9,26.8,25.3,,22.45,22.45,22.33333333,22.41111111,26.32440476,,8.293095238,33.74025801
1894,24.1,25,26.5,28.3,29.7,28.4,26.8,27,26.1,26.9,25.8,24.4,,24.55,24.55,24.7,24.6,26.73154762,,8.281428572,34.73439791
1895,22.9,23.9,26.3,27.9,29.4,28.6,27.1,26.5,26.3,27.6,27.4,25,,23.4,23.4,23.56666667,23.45555556,26.70654762,,8.310952382,35.69533911
1896,24.7,24,26.5,29.1,30.1,28.5,27,26.4,27.5,28.9,27.4,25.9,,24.35,24.35,24.23333333,24.31111111,27.2797619,,8.4425,36.67595547
1897,23.2,23.5,25.1,28.1,29.5,29.3,27.2,27.3,27.3,27.5,26.1,24.5,,23.35,23.35,23.4,23.36666667,26.71011905,,26.75047619,16.48500534
1898,24.4,24.2,26.4,28.5,29.9,28.5,26.9,26.9,26.7,28.6,27.6,25.9,,24.3,24.3,24.26666667,24.28888889,27.14404762,,26.91440476,14.37846736
1899,22.5,24.1,26.4,28.2,29.6,28,27.5,27.4,27.3,28.3,26.5,25.6,,23.3,23.3,23.56666667,23.38888889,26.9297619,,26.95404762,11.77535829
1900,23.2,23.5,26.1,28,29.6,29.8,28.1,26.8,27.1,27.6,27,25.9,,23.35,23.35,23.4,23.36666667,27.03928571,,27.02059524,8.424936078
1901,23,22.9,26.5,28.6,30.3,28.5,27.1,26.8,27.6,27.6,27.6,26,,22.95,22.95,22.93333333,22.94444444,27.03333333,,26.97130952,0.108766377
1902,25,25,27.4,28.9,30.5,29.4,27.8,27.6,26.9,28.8,27.6,25.4,,25,25,25,25,27.65416667,,27.16011905,0.24560333
1903,23.5,23.4,24.9,27.6,28.9,28.4,27,27,27,27.5,26,24.5,,23.45,23.45,23.43333333,23.44444444,26.44166667,,27.01964286,0.341445635
1904,24.4,25.1,26.4,28.3,29.8,28.4,27.4,27.1,27.3,28.3,26.5,24.9,,24.75,24.75,24.86666667,24.78888889,27.11547619,,27.05678571,0.342280699
1905,23,21.8,24.4,26.3,29.4,30.2,27.5,27.4,27.3,28.5,27.5,24.8,,22.4,22.4,22.2,22.33333333,26.63571429,,26.97607143,0.374506084
1906,23.1,23,25.3,27.3,29.8,28.4,27,27.1,27,27.9,27.8,25.7,,23.05,23.05,23.03333333,23.04444444,26.73154762,,26.91571429,0.382451158
1907,25,24.5,26.5,28.7,29.4,28.8,27.2,26.4,27.3,28,27.7,25.1,,24.75,24.75,24.66666667,24.72222222,27.15892857,,26.81666667,0.347679334
1908,24.1,24.1,25.3,28.5,29.4,29.2,26.8,26.4,27.2,27.9,26,24.1,,24.1,24.1,24.1,24.1,26.72380952,,26.87309524,0.241923274
1909,22.6,23.8,26.4,27.9,30.3,28.7,26.5,27,26.3,27.4,26.4,24.6,,23.2,23.2,23.4,23.26666667,26.65892857,,26.78178571,0.246691572
1910,23.8,25.1,26.6,28.4,29.5,28.2,27.6,26.6,26.5,27.1,25.6,24.5,,24.45,24.45,24.66666667,24.52222222,26.77797619,,26.81023809,0.194669723
1911,24.3,24.1,26,27.5,29.7,28.6,27.7,26.6,27.3,28.2,27.4,26.7,,24.2,24.2,24.16666667,24.18888889,27.09880952,,26.88369047,0.200918067
1912,24.8,25.2,26.4,29.1,30,29.4,27.5,26.9,27.4,28.1,26.7,25.1,,25,25,25.06666667,25.02222222,27.35,,26.92190476,0.231500614
1913,24,24.5,25.4,28,30,28.5,27,27.1,27,27.9,26.4,24.5,,24.25,24.25,24.33333333,24.27777778,26.82142857,,26.94142857,0.228068607
1914,24.7,24.2,25.4,27.5,30.3,29.3,27.4,26.9,27.4,29,28.1,25,,24.45,24.45,24.36666667,24.42222222,27.19166667,,27.04797619,0.230490574
1915,24.1,23.7,26.4,28.8,30.4,29.4,27.9,27.3,27.1,27.6,27.5,24.8,,23.9,23.9,23.83333333,23.87777778,27.24702381,,27.14178571,0.234803641
1916,24.5,23.3,27,28.5,29.8,28.3,27.5,27.1,27,27.3,26.9,24.9,,23.9,23.9,23.7,23.83333333,27.00059524,,27.12214286,0.220980257
1917,24.5,24.6,26.1,28.1,28.9,28,27.6,26.6,26.6,26.6,25.6,24,,24.55,24.55,24.56666667,24.55555556,26.57857143,,26.96785714,0.206125788
