year,co2
1902,0.095
1903,1.964
1904,2.088
1905,2.297
1906,17.111
1907,16.84
1908,22.731
1909,20.837
1910,18.749
1911,27.846
1912,9.787
1913,10.758
1914,15.107
1915,16.089
1916,17.965
1917,19.852
1918,21.042
1919,24.256
1920,26.769
1921,25.289
1922,26.634
1923,32.152
1924,35.094
1925,33.221
1926,29.59
1927,33.526
1928,34.116
1929,35.819
1930,37.922
1931,40.26
1932,38.6
1933,42.217
1934,49.273
1935,57.627
1936,65.04
1937,60.577
1938,55.304
1939,67.157
1940,86.1
1941,107.615
1942,113.87
1943,97.305
1944,97.865
1945,50.351
1946,31.276
1947,33.588
1948,23.853
1949,59.309
1950,78.648
1951,101.724
1952,128.222
1953,134.102
1954,161.256
1955,190.891
1956,216.348
1957,256.348
1958,525.381
1959,720.152
1960,778.979
1961,550.959
1962,439.342
1963,435.518
1964,435.704
1965,474.681
1966,521.459
1967,432.224
1968,467.806
1969,575.945
1970,770.167
1971,874.016
1972,928.894
1973,965.647
1974,985.085
1975,1142.102
1976,1190.965
1977,1304.403
1978,1455.258
1979,1487.113
1980,1458.887
1981,1442.782
1982,1570.468
1983,1655.81
1984,1802.317
1985,1951.773
1986,2052.242
1987,2191.053
1988,2347.763
1989,2386.885
1990,2420.302
1991,2538.924
1992,2657.112
1993,2835.795
1994,3010.242
1995,3265.057
1996,3408.347
1997,3414.549
1998,3265.903
1999,3258.135
2000,3349.295
2001,3426.144
2002,3782.439
2003,4452.31
2004,5125.894
2005,5771.168
2006,6377.748
2007,6861.751
2008,7375.19
2009,7758.812
2010,8500.543
2011,9388.199
2012,9633.899
2013,9796.527
2014,9820.36
2015,9716.468
2016,9704.479
2017,9838.754
2018,10064.69
