year,average_co2_concentrations
1980,338.9116667
1981,340.105
1982,340.8566667
1983,342.5308333
1984,344.0741667
1985,345.5441667
1986,346.9658333
1987,348.6741667
1988,351.1591667
1989,352.7825
1990,354.0533333
1991,355.3941667
1992,356.0933333
1993,356.8333333
1994,358.3308333
1995,360.1725
1996,361.9325
1997,363.0466667
1998,365.6975
1999,367.7966667
2000,368.965
2001,370.5725
2002,372.5875
2003,375.1433333
2004,376.9525
2005,378.9825
2006,381.1458333
2007,382.9016667
2008,385.0183333
2009,386.4958333
2010,388.7575
2011,390.635
2012,392.6525
2013,395.3983333
2014,397.3458333
2015,399.6475
2016,403.0816667
2017,405.2191667
2018,407.6166667
2019,410.0725
2020,412.4433333
2021,413.7966667
